route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113B,SU,110971056,Westminster Station,1, 113  1,982128
113B,SU,110971057,Westminster Station,1, 113  1,982128
113B,SU,110971058,Westminster Station,1, 113  1,982128
113B,SU,110971059,Westminster Station,1, 113  1,982128
113B,SU,110971060,Westminster Station,1, 113  1,982128
113B,SU,110971061,Westminster Station,1, 113  1,982128
113B,SU,110971062,Westminster Station,1, 113  1,982128
113B,SU,110971063,Westminster Station,1, 113  1,982128
113B,SU,110971064,Westminster Station,1, 113  1,982128
113B,SU,110971065,Westminster Station,1, 113  1,982128
113B,SU,110971066,Westminster Station,1, 113  1,982128
A,FR,111119893,Denver Airport,0,   A  4,998007
A,FR,111119894,Denver Airport,0,   A  3,998007
A,FR,111119895,Denver Airport,0,   A  2,998007
A,FR,111119896,Denver Airport,0,   A  1,998007
A,FR,111119897,Denver Airport,0,   A  4,998007
A,FR,111119898,Denver Airport,0,   A  2,998007
A,FR,111119899,Denver Airport,0,   A  1,998007
A,FR,111119900,Denver Airport,0,   A  4,998007
A,FR,111119901,Denver Airport,0,   A  3,998007
A,FR,111119902,Denver Airport,0,   A  7,998007
A,FR,111119903,Denver Airport,0,   A  6,998007
A,FR,111119904,Denver Airport,0,   A  5,998007
A,FR,111119905,Denver Airport,0,   A  3,998007
A,FR,111119906,Denver Airport,0,   A  2,998007
A,FR,111119907,Denver Airport,0,   A  1,998007
A,FR,111119908,Denver Airport,0,   A  4,998007
A,FR,111119909,Denver Airport,0,   A  7,998007
A,FR,111119910,Denver Airport,0,   A  6,998007
A,FR,111119911,Denver Airport,0,   A  5,998007
A,FR,111119912,Denver Airport,0,   A  3,998007
A,FR,111119913,Denver Airport,0,   A  2,998007
A,FR,111119914,Denver Airport,0,   A  1,998007
A,FR,111119915,Denver Airport,0,   A  4,998007
A,FR,111119916,Denver Airport,0,   A  7,998007
A,FR,111119917,Denver Airport,0,   A  6,998007
A,FR,111119918,Denver Airport,0,   A  5,998007
A,FR,111119919,Denver Airport,0,   A  3,998007
A,FR,111119920,Denver Airport,0,   A  2,998007
A,FR,111119921,Denver Airport,0,   A  1,998007
A,FR,111119922,Denver Airport,0,   A  4,998007
A,FR,111119923,Denver Airport,0,   A  7,998007
A,FR,111119924,Denver Airport,0,   A  6,998007
A,FR,111119925,Denver Airport,0,   A  5,998007
A,FR,111119926,Denver Airport,0,   A  3,998007
A,FR,111119927,Denver Airport,0,   A  2,998007
A,FR,111119928,Denver Airport,0,   A  1,998007
A,FR,111119929,Denver Airport,0,   A  4,998007
A,FR,111119930,Denver Airport,0,   A  3,998007
A,FR,111119931,Denver Airport,0,   A  2,998007
A,FR,111119932,Denver Airport,0,   A  1,998007
A,FR,111119933,Denver Airport,0,   A  4,998007
A,FR,111119934,Denver Airport,0,   A  7,998007
A,FR,111119935,Denver Airport,0,   A  6,998007
A,FR,111119936,Denver Airport,0,   A  5,998007
A,FR,111119937,Denver Airport,0,   A  3,998007
A,FR,111119938,Denver Airport,0,   A  2,998007
A,FR,111119939,Denver Airport,0,   A  1,998007
A,FR,111119940,Denver Airport,0,   A  4,998007
A,FR,111119941,Denver Airport,0,   A  7,998007
A,FR,111119942,Denver Airport,0,   A  6,998007
A,FR,111119943,Denver Airport,0,   A  5,998007
A,FR,111119944,Denver Airport,0,   A  3,998007
A,FR,111119945,Denver Airport,0,   A  2,998007
A,FR,111119946,Denver Airport,0,   A  1,998007
A,FR,111119947,Denver Airport,0,   A  4,998007
A,FR,111119948,Denver Airport,0,   A  7,998007
A,FR,111119949,Denver Airport,0,   A  6,998007
A,FR,111119950,Denver Airport,0,   A  5,998007
A,FR,111119951,Denver Airport,0,   A  3,998007
A,FR,111119952,Denver Airport,0,   A  2,998007
A,FR,111119953,Denver Airport,0,   A  1,998007
A,FR,111119954,Denver Airport,0,   A  4,998007
A,FR,111119955,Denver Airport,0,   A  7,998007
A,FR,111119956,Denver Airport,0,   A  6,998007
A,FR,111119957,Denver Airport,0,   A  5,998007
A,FR,111119958,Denver Airport,0,   A  3,998007
A,FR,111119959,Denver Airport,0,   A  2,998007
A,FR,111119960,Denver Airport,0,   A  1,998007
A,FR,111119968,Denver Airport,0,   A  1,998007
A,FR,111119969,Denver Airport,0,   A  4,998007
A,FR,111119970,Denver Airport,0,   A  3,998007
A,FR,111119971,Denver Airport,0,   A  2,998007
A,FR,111119972,Denver Airport,0,   A  1,998007
A,FR,111119973,Union Station,1,   A  1,998010
A,FR,111119974,Union Station,1,   A  4,998010
A,FR,111119975,Union Station,1,   A  3,998010
A,FR,111119976,Union Station,1,   A  2,998010
A,FR,111119977,Union Station,1,   A  1,998010
